Indicador,Formación bruta de capital fijo,Talento,Población,PEA,Superficie,PIB corriente,PIB constante,Unidades económicas totales,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Número de notarios,Homicidios,Superficie anual reforestada,Fuentes de energía no contaminantes,Extensión arbolada ,Emergencias industriales,Biodiversidad (especies de fauna y flora),Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Valor de la producción agrícola,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Generación de residuos sólidos,Disposición en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Más de 1 y hasta 2 S.M.,Más de 5 S.M.,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Población ocupada femenil,Ingreso promedio de la mujer,Número de diputadas en la cámara de diputados federal,Número total de diputados en la cámara de diputados federal,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Saldos totales de las obligaciones financieras de las entidades federativas,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,ïndice Molinar,Elasticidad Salario-PIB,Salarios promedio,Población ocupada en el sector primario,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Inversión ejercida en adquisición de vivienda,Activos fijos netos,Superficie agrícola (media móvil de 4 años),Hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Hogares con acceso a internet,Total de hogares,Número de computadoras,Captación de la banca comercial,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Operaciones atendidas en los aeropuertos,Destinos aéreos ,Unidades de transporte público,Número de créditos ejercidos,Módulos de la banca múltiple,Oficinas de banca comercial,Monto de las primas pagadas en seguro directo,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Personas en el mercado informal,Flujo de extranjeros,Ingresos directos por turismo( Servicios de alojamiento temporal y de preparación de alimentos y bebidas) ,Exportaciones (estimado),Importaciones (estimado),Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Patentes solicitadas por entidad de residencia del inventor,Empresas con ISO 9000,Investigadores,PIB en dólares
Nuevo León,11004.83843,0.42440,4052124.00000,1720353.00000,64203.00000,521232472.69333,521232472.69333,109342.09300,7474.00000,38.88889,3.01000,2.71000,3.94000,3.49000,0.38667,28.00000,150.00000,2989.00000,0.00477,348637.00000,4.00000,1302.00000,1834.43000,20.00000,5687.35102,0.70627,9163.30000,1620.60000,1522.00000,50.60063,97.40000,74.73470,0.19346,233570.00000,339676.00000,1.54561,158.00000,635307.00000,0.91780,8.00000,18.00000,3.00000,84.40000,50.80000,0.08299,519.60000,111590.00000,12.82508,8418200.00000,0.03041,81.70000,9.30214,0.00000,62.50000,1.60955,0.16696,32.85000,67614.00000,9.66764,9.20000,,7654409.40000,299139623.12419,345784.15000,199296.00000,48.70000,119789.00000,978889.00000,20.56541,119634.67737,16.54979,0.00000,41.89640,84089.00000,56.00000,46196.00000,30502.00000,3.92771,535.00000,4498365.00000,0.46727,79.50521,0.22400,0.42467,52.83000,54.76000,0.76864,0.00000,0.00000,0.00000,9.90000,356194.00000,0.00952,9584339.93991,14393794.58928,13059189.27540,1640.94836,8582.00000,181954790.77375,0.00000,44.00000,268.00000,230.00000,47841593.40194
Oaxaca,2015.23785,0.20156,3584431.00000,1409610.00000,93343.00000,113735343.78956,113735343.79155,105887.13497,5777.00000,37.77778,3.46000,2.58000,3.12000,3.65000,0.53700,14.00000,622.00000,5239.00000,0.32795,5105015.00000,19.00000,3345.00000,5370.62000,5.00000,43160.49261,0.39218,612.90000,730.00000,0.00000,67.75207,73.80000,72.99090,0.30232,258735.00000,70722.00000,1.11566,720.00000,573768.00000,0.83050,2.00000,17.00000,19.30000,75.80000,58.80000,0.07129,433.99000,115354.00000,3.62263,583300.00000,-0.00277,10.20000,9.90581,0.00000,50.70000,1.99777,1.34692,16.96000,556214.00000,7.76805,6.20000,,693713.30000,51247103.56223,1039568.83250,31397.00000,10.50000,27019.00000,802132.00000,5.00888,13959.35770,1.98043,0.00000,15347.18820,25173.00000,14.00000,10461.00000,6783.00000,427.21034,131.00000,203868.00000,0.53566,71.38849,0.00000,0.00000,36.38000,33.33000,0.96415,0.00000,0.00000,5.27254,6.80000,424552.00000,0.00867,4154549.08119,135780.25399,59853.77704,0.87016,615.00000,26058311.01461,0.00000,2.00000,10.00000,43.00000,10568922.32254
Puebla,4704.63927,0.24756,5480224.00000,2218269.00000,34251.00000,244943138.62912,244943138.62912,163557.60808,12408.00000,35.55556,2.24000,2.18000,1.14000,3.56000,0.55867,19.00000,370.00000,11667.00000,0.15674,768226.00000,30.00000,1739.00000,395.57000,17.00000,8169.83444,0.91127,2169.60000,1460.00000,1060.00000,63.39735,83.80000,73.72550,0.28938,548639.00000,131086.00000,1.11127,674.00000,819075.00000,0.92470,5.00000,18.00000,13.10000,81.10000,75.00000,0.08567,496.30000,80425.00000,8.85101,2829900.00000,0.00904,30.80000,5.75308,0.00000,54.00000,1.63629,0.20621,18.43000,618864.00000,7.51327,7.20000,,2797117.30000,126527810.92447,832893.78750,117491.00000,21.10000,50097.00000,1215190.00000,8.64499,28862.83255,4.78936,0.00000,0.60271,13002.00000,4.00000,28764.00000,27160.00000,223.69274,252.00000,1514000.00000,0.58392,66.87619,0.32725,0.55100,23.81000,47.62000,0.82270,0.00000,0.00000,31.28828,18.00000,625048.00000,0.00068,4934007.43159,5264223.31126,3254257.32070,959.05340,700.00000,84560288.14469,0.00000,14.00000,61.00000,402.00000,22728006.67736
Querétaro,2377.21059,0.30579,1528030.00000,626486.00000,11658.00000,118150464.06445,118150464.06445,41174.96535,5331.00000,27.77778,2.39000,2.64000,4.02000,3.02000,0.35433,14.00000,84.00000,2871.00000,0.20438,247372.00000,6.00000,652.00000,3860.73000,12.00000,2422.58584,0.96934,657.40000,463.55000,345.00000,59.04369,96.20000,74.18880,0.21367,129732.00000,68446.00000,1.47510,174.00000,239788.00000,0.90040,0.00000,8.00000,8.50000,75.40000,52.40000,0.16343,499.47000,119683.00000,7.01839,1493500.00000,0.01598,37.10000,12.55246,0.00000,57.30000,2.19105,0.45069,26.04000,74084.00000,7.84026,8.10000,,2258036.50000,67800170.89751,146157.65000,60654.00000,36.30000,23027.00000,324381.00000,17.29386,13697.28748,9.84171,0.00000,0.66456,11443.00000,4.00000,14120.00000,13332.00000,145.78726,88.00000,551078.00000,0.85778,58.33497,0.12050,0.59733,26.67000,42.86000,0.92979,0.00000,0.00000,19.85104,6.30000,169834.00000,0.00052,2987420.65610,2437037.62638,2813069.49289,56.27781,503.00000,44802396.18789,0.00000,10.00000,72.00000,209.00000,10979199.91678
Quintana Roo,2059.85378,0.27748,1030719.00000,425292.00000,42535.00000,98484173.33425,98484173.33558,28357.91360,17847.00000,50.00000,3.44000,2.75000,2.76000,3.36000,0.56967,18.00000,136.00000,3696.00000,0.32795,3686715.00000,0.00000,792.00000,10040.72000,2.00000,8782.28079,0.07223,1019.80000,317.55000,195.00000,53.64769,97.90000,75.05240,0.26586,87065.00000,84408.00000,1.41552,30.00000,191718.00000,0.91790,2.00000,4.00000,6.10000,78.20000,57.60000,0.11017,497.80000,19083.00000,5.87545,1505300.00000,0.03332,59.20000,11.77241,0.00000,55.40000,2.35040,1.04228,29.19000,39899.00000,6.39360,8.30000,,2303353.40000,38851244.98719,95139.34250,52025.00000,122.20000,19324.00000,260195.00000,12.24414,7299.21682,10.89059,0.00000,9777.30128,108135.00000,97.00000,15032.00000,15121.00000,93.13086,91.00000,399752.00000,0.94040,66.83765,0.43075,0.85033,6.67000,50.00000,0.85787,0.00000,0.00000,0.00000,3.70000,105498.00000,0.43652,21484957.18839,70448.46408,222082.83740,111.41016,1410.00000,14421263.67602,0.00000,2.00000,15.00000,34.00000,9151698.52474
San Luis Potosí,2357.61581,0.28459,2364420.00000,993087.00000,61165.00000,128428626.98531,128428626.98531,62587.52259,4114.00000,25.55556,3.26000,2.35000,3.30000,3.14000,0.22533,16.00000,145.00000,6841.00000,0.00477,822044.00000,13.00000,1632.00000,747.26000,10.00000,9753.38593,1.18050,545.00000,616.85000,321.00000,65.26330,78.90000,74.04230,0.23733,230795.00000,89322.00000,1.11909,262.00000,338562.00000,0.98420,1.00000,10.00000,9.90000,80.50000,65.60000,0.06477,490.13000,34900.00000,23.23021,1211000.00000,0.02763,28.00000,7.97086,0.00000,45.00000,2.51228,0.62923,22.69000,287666.00000,9.20523,7.40000,,2072593.20000,62500801.61532,545971.33500,79795.00000,17.90000,22854.00000,511256.00000,10.56913,13425.25978,6.55527,0.00000,17.75756,20667.00000,8.00000,9078.00000,18120.00000,149.36636,125.00000,349369.00000,0.32698,81.87500,0.16350,0.43600,44.44000,50.00000,0.91052,1600387.00000,0.00000,0.00000,10.20000,228760.00000,0.00086,3135331.55901,2406251.65073,2209716.42000,83.86514,387.00000,46009748.40361,0.00000,3.00000,54.00000,130.00000,11930098.85989
Sinaloa,2231.11773,0.31263,2608487.00000,1166243.00000,57331.00000,146018583.92531,146018583.94384,63360.09206,13824.00000,55.55556,2.80000,2.56000,2.08000,3.00000,0.15000,7.00000,419.00000,3780.00000,0.11041,2701741.00000,3.00000,1206.00000,510.02000,9.00000,21306.53128,0.22267,2580.10000,806.65000,639.00000,56.20290,96.60000,73.97190,0.25030,292436.00000,141183.00000,1.53269,175.00000,416770.00000,0.99030,3.00000,11.00000,7.60000,77.30000,57.60000,0.02987,515.67000,33463.00000,19.49927,3150800.00000,-0.00357,56.00000,11.52126,0.00000,46.30000,2.10164,1.64714,27.64000,307979.00000,12.35004,8.20000,,2985007.80000,57304437.44113,1150355.44250,93159.00000,35.40000,58668.00000,622427.00000,11.37868,20315.73333,16.13402,0.00000,7741.85412,88824.00000,55.00000,15888.00000,21267.00000,187.02255,227.00000,618960.00000,0.69770,76.57932,0.30150,0.44767,64.38000,71.43000,0.91334,0.00000,0.00000,0.00000,5.50000,279164.00000,0.03743,5581288.53078,899431.38630,508921.22228,22.24459,697.00000,25993010.84483,0.00000,3.00000,35.00000,78.00000,13568861.00428
Sonora,3040.86483,0.31786,2309138.00000,990054.00000,179516.00000,169527306.28613,169527306.30265,65880.58543,13039.00000,32.22222,2.60000,2.62000,2.37000,2.41000,0.39733,25.00000,229.00000,3277.00000,0.11041,3770222.00000,6.00000,1375.00000,10243.46000,13.00000,5142.86263,0.71656,2575.10000,704.45000,370.00000,54.47837,97.70000,74.39460,0.20272,222630.00000,138395.00000,1.55296,231.00000,344547.00000,0.92220,1.00000,11.00000,4.00000,79.40000,56.40000,0.03365,504.71000,43949.00000,22.32337,5460200.00000,-0.00861,79.50000,10.68263,0.00000,53.10000,2.15916,1.10373,26.61000,106786.00000,20.88980,8.60000,,3447115.80000,94006265.29835,532911.05750,125836.00000,25.60000,48493.00000,588392.00000,16.83989,20242.20235,12.65759,0.00000,4107.82079,65459.00000,34.00000,9044.00000,23834.00000,74.57063,234.00000,908737.00000,0.27853,75.45878,0.25825,0.29800,69.46000,52.38000,0.85831,0.00000,0.00000,15.47869,4.50000,232078.00000,0.00673,5438829.82525,5836623.63300,3733630.51924,123.60217,420.00000,50292641.93758,0.00000,1.00000,105.00000,153.00000,15753422.56848
Tabasco,1709.06493,0.25033,1996748.00000,802354.00000,24747.00000,170381670.16978,170381670.17890,42682.04595,6160.00000,66.66667,3.35000,2.85000,2.88000,3.08000,0.31133,12.00000,116.00000,4613.00000,0.32795,276618.00000,60.00000,896.00000,3027.07000,36.00000,121977.08245,0.03068,943.00000,562.10000,194.00000,57.02042,71.90000,73.69240,0.23310,180757.00000,87719.00000,1.85201,185.00000,207898.00000,1.09230,2.00000,11.00000,8.70000,81.40000,73.80000,0.08329,478.56000,20717.00000,0.99248,535500.00000,-0.00290,5.00000,8.75126,0.00000,63.20000,1.96472,0.14237,21.23000,200684.00000,9.26141,7.70000,,1845374.30000,65849527.33516,286715.86250,31323.00000,13.40000,17044.00000,435096.00000,8.32703,11454.70733,3.41775,0.00000,21095.00000,20299.00000,13.00000,9894.00000,11674.00000,102.42463,112.00000,552053.00000,0.40409,84.50223,0.39625,0.48200,32.89000,50.00000,0.95680,0.00000,0.00000,0.00000,6.90000,186629.00000,0.00069,3188142.35424,30379.17923,165806.78064,25.15178,104.00000,97379035.47392,0.00000,3.00000,41.00000,26.00000,8931819.70840
Tamaulipas,4394.77515,0.33066,2925523.00000,1190324.00000,80148.00000,244346686.45629,244346686.46487,84660.22794,9782.00000,38.88889,3.06000,2.64000,2.16000,3.05000,0.38633,25.00000,228.00000,4372.00000,0.00477,1584336.00000,41.00000,1505.00000,0.30000,17.00000,29211.58875,0.36255,2622.20000,930.75000,457.00000,52.78192,96.40000,74.26310,0.21519,282315.00000,162986.00000,1.57852,156.00000,451846.00000,0.94040,3.00000,17.00000,4.50000,78.30000,66.80000,0.07984,496.80000,81531.00000,8.82319,758100.00000,0.04666,10.60000,5.89916,0.00000,56.30000,1.63523,0.70787,27.92000,90928.00000,6.28874,8.50000,,4662304.20000,116737709.55616,1317529.61750,119478.00000,34.50000,29829.00000,773256.00000,13.22425,28917.36809,7.73994,0.00000,22338.48714,43210.00000,17.00000,13166.00000,39561.00000,7.91747,285.00000,932206.00000,0.62385,73.78125,0.31000,0.82733,40.32000,42.86000,0.88777,0.00000,0.00000,0.00000,5.10000,267908.00000,0.02488,7024689.01765,13741250.64321,11614713.71250,336.63426,1209.00000,94417295.14845,0.00000,3.00000,139.00000,60.00000,21303414.04160
Tlaxcala,738.22917,0.23034,1021525.00000,414084.00000,3997.00000,41937490.56322,41937490.56322,40514.01298,5864.00000,24.44444,1.94000,1.89000,1.56000,3.16000,0.61233,3.00000,39.00000,596.00000,0.15674,51709.00000,0.00000,337.00000,463.91000,13.00000,10226.04780,0.34159,623.50000,248.20000,217.00000,59.29171,95.30000,74.65960,0.30006,130231.00000,21409.00000,1.49482,119.00000,141831.00000,0.94810,2.00000,6.00000,7.00000,71.90000,63.60000,0.08942,505.80000,17008.00000,0.30765,0.00000,0.00046,0.00000,0.00000,0.00000,61.40000,2.30250,0.40755,18.74000,76342.00000,6.38044,8.00000,,575457.50000,16984497.79878,227699.98250,44711.00000,12.50000,14223.00000,232501.00000,8.11699,4021.70363,5.89604,0.00000,0.00000,0.00000,0.00000,5748.00000,10423.00000,22.10256,46.00000,97511.00000,0.00000,67.46458,0.34450,0.36733,11.75000,47.62000,0.97009,14960379.00000,0.00000,15.78972,7.80000,153812.00000,0.00000,1002372.36963,373320.06862,264171.49124,28.60738,83.00000,15209007.16644,0.00000,1.00000,13.00000,20.00000,3897065.46265
Veracruz,5800.67975,0.24566,7003747.00000,2518763.00000,71856.00000,313406215.90165,313406215.91249,182141.61381,3966.00000,33.33333,2.21000,2.43000,2.60000,2.19000,0.47267,33.00000,408.00000,19897.00000,0.32795,1834339.00000,94.00000,2961.00000,2945.01000,16.00000,94217.40881,0.17083,1194.30000,1806.75000,645.00000,57.53304,71.30000,72.97220,0.24605,707937.00000,208034.00000,1.38597,795.00000,869434.00000,0.90040,4.00000,35.00000,13.60000,80.80000,66.00000,0.13667,491.12000,80687.00000,11.09959,1882900.00000,0.01126,13.80000,0.85532,0.00000,49.20000,1.94185,1.32412,18.99000,747300.00000,9.97674,6.90000,,3071702.80000,266760423.17513,1467187.83250,113061.00000,17.30000,46015.00000,1841845.00000,7.66558,33181.50962,8.74054,0.00000,64299.08100,34071.00000,20.00000,27419.00000,32010.00000,274.32814,351.00000,1297665.00000,0.69584,84.78644,0.00000,0.00000,34.60000,45.24000,0.90056,0.00000,0.00000,0.00000,6.40000,743826.00000,0.00486,8786984.41756,1939255.44882,1631443.24921,44.24478,692.00000,94085762.37263,0.00000,2.00000,100.00000,181.00000,28134303.75117
Yucatán,1942.39599,0.24845,1730072.00000,770194.00000,39671.00000,95956497.55061,95956497.51740,60965.85751,14994.00000,28.88889,2.98000,3.00000,3.17000,3.30000,0.66633,18.00000,52.00000,14697.00000,0.32795,1395342.00000,7.00000,835.00000,4815.05000,7.00000,2029.76155,0.06021,140.90000,470.85000,277.00000,56.19782,95.30000,73.94930,0.27831,238430.00000,69072.00000,1.68664,164.00000,298286.00000,0.95210,4.00000,8.00000,10.70000,78.30000,51.10000,0.07876,487.91000,32219.00000,7.42004,874900.00000,0.01124,23.70000,5.25392,0.00000,68.50000,2.09746,0.06771,21.51000,143640.00000,1.90202,7.30000,,1729394.70000,34733616.77914,690516.25750,57606.00000,15.40000,28893.00000,420395.00000,11.62674,19892.74765,4.86785,0.00000,4030.00000,24213.00000,19.00000,11582.00000,10767.00000,152.64240,120.00000,531772.00000,0.50415,77.28973,0.27550,0.49367,42.60000,54.76000,0.89016,0.00000,0.00000,0.00000,4.80000,200607.00000,0.01719,3153346.62124,909084.06343,652827.86192,30.91054,550.00000,26465153.11341,0.00000,9.00000,31.00000,180.00000,8916812.79684
Zacatecas,880.76654,0.26694,1356380.00000,494402.00000,75416.00000,53417232.37753,53417232.37753,40307.16349,4369.00000,42.22222,3.68000,3.06000,4.11000,3.18000,0.64467,13.00000,91.00000,2518.00000,0.20438,1102950.00000,3.00000,765.00000,11.25000,6.00000,6759.52848,0.81174,166.10000,321.20000,65.00000,64.48190,93.00000,74.34440,0.23671,119851.00000,32794.00000,1.28430,148.00000,160527.00000,1.00050,0.00000,7.00000,7.10000,73.00000,59.70000,0.05346,502.09000,111590.00000,9.21966,381600.00000,0.06257,13.20000,3.90780,0.00000,61.90000,2.37446,0.58707,21.50000,133148.00000,5.73562,6.90000,,676675.90000,23792760.84838,1118031.40250,33615.00000,14.20000,13577.00000,311244.00000,10.37014,7113.72435,4.36145,0.00000,1.49843,7634.00000,11.00000,4628.00000,16706.00000,102.39596,86.00000,85519.00000,0.13260,75.49598,0.16350,0.24067,40.89000,57.14000,0.93404,0.00000,0.00000,23.80859,5.60000,125018.00000,0.00101,1520605.06443,325231.21173,283296.68198,0.13765,290.00000,11849366.30858,0.00000,4.00000,8.00000,48.00000,4963827.08200
Aguascalientes,1762.05080,0.32052,1028338.00000,392100.00000,5625.00000,85040449.21778,79156984.90797,33604.00000,12322.00000,37.16599,3.20000,2.92000,4.28000,3.29000,0.19300,15.00000,21.00000,2724.00000,0.20438,65447.00000,1.00000,379.00000,976.99000,25.00000,3844.05572,1.51224,2458.80000,313.90000,314.00000,61.03142,98.80000,74.61130,0.19714,96139.00000,41262.00000,2.21328,85.00000,146854.00000,1.01760,4.00000,10.00000,4.00000,77.50000,58.50000,0.12782,504.73000,31726.00000,3.37242,621000.00000,0.02849,21.00000,4.96000,0.00000,52.30000,1.68121,0.15723,24.08000,28513.00000,8.71462,8.50000,,2039893.40000,47565312.00000,141783.75000,33365.00000,43.40000,14401.00000,222015.00000,21.65352,10569.29819,10.63830,0.00000,0.97330,11684.00000,12.00000,5066.00000,20187.00000,80.46212,72.00000,424283.00000,1.77778,80.17218,0.12050,0.13767,38.67000,69.05000,0.96562,3720632.00000,0.00000,26.42382,5.05000,89444.00000,0.00114,1841887.27919,6066997.29854,4484832.97679,303.91460,625.00000,33667817.62452,0.00000,5.00000,31.00000,47.00000,7539046.91647
Baja California,4257.80311,0.31264,2870160.50000,1211259.00000,71546.00000,246886040.04451,228527708.33074,61807.00000,20720.00000,63.03409,3.19000,2.89000,3.20000,3.63000,0.47267,14.00000,480.00000,1952.00000,0.11041,204977.00000,2.00000,1028.00000,38560.83000,9.00000,8700.67109,0.62893,4059.50000,1131.50000,1083.00000,52.29955,97.20000,75.27080,0.17309,129989.00000,235657.00000,1.18007,99.00000,397292.00000,0.95730,2.00000,11.00000,1.80000,81.20000,54.20000,0.12295,495.94000,80648.00000,16.57799,3161100.00000,0.01949,46.20000,10.72000,0.00000,36.60000,1.98221,-0.02100,32.06000,66376.00000,42.49584,8.70000,,7641471.20000,96501081.00000,217261.20250,135586.00000,52.40000,72032.00000,653649.00000,22.58546,35605.16032,13.38583,0.00000,18639.40095,55224.00000,44.00000,13498.00000,38119.00000,37.66303,237.00000,1414391.00000,0.69885,56.05446,0.48250,0.52800,36.44000,59.52000,0.82523,17282993.00000,0.00000,0.00000,6.45000,243490.00000,0.05097,9356549.08504,27345343.17632,21441594.25662,995.92859,1627.00000,83116386.94067,0.00000,0.00000,102.00000,313.00000,21887060.28763
Baja California Sur,835.67452,0.33457,489760.50000,211258.00000,73943.00000,44639935.46661,41267572.57766,17992.00000,10842.00000,32.13141,2.40000,2.44000,3.12000,2.72000,0.67667,1.00000,29.00000,428.00000,0.11041,505611.00000,0.00000,765.00000,28835.59000,2.00000,7207.09273,0.67948,780.50000,164.25000,131.00000,49.83797,97.30000,75.09840,0.19568,41620.00000,43263.00000,2.32971,40.00000,73929.00000,0.95240,0.00000,2.00000,3.50000,82.90000,53.30000,0.11230,509.25000,18123.00000,23.99411,572300.00000,0.04809,34.40000,8.68000,0.00000,66.90000,1.72821,0.86605,32.45000,33886.50000,60.17857,8.80000,,1757120.10000,18624537.00000,35155.05000,22928.00000,52.00000,16411.00000,125747.00000,21.01956,6409.39766,2.89598,0.00000,12780.77883,57433.00000,42.00000,8619.00000,6023.00000,97.85527,54.00000,428708.00000,0.67620,51.39420,0.33600,0.65467,21.59000,0.00000,0.86153,0.00000,0.00000,0.00000,3.55000,45610.00000,0.09699,5271667.78758,232847.09622,75478.60286,147.88654,235.00000,9006562.20513,0.00000,3.00000,17.00000,132.00000,3957441.08747
Campeche,1468.38058,0.25970,738629.00000,328176.00000,57727.00000,450632997.14944,350554988.51505,22900.00000,9205.00000,40.78526,3.43000,2.74000,3.96000,3.16000,0.31133,14.00000,37.00000,4609.00000,0.32795,3286346.00000,116.00000,670.00000,17121.91000,18.00000,2606.73114,0.00024,37.00000,219.00000,60.00000,57.17911,87.10000,74.11820,0.27754,84875.00000,39985.00000,2.21898,50.00000,113640.00000,0.97310,2.00000,5.00000,9.90000,74.90000,54.00000,0.07157,496.65000,16933.00000,2.38253,20500.00000,0.02937,0.80000,0.86000,0.00000,60.20000,2.52834,0.22921,20.96000,80634.50000,5.85484,7.70000,,647083.00000,87498357.00000,163032.72250,34212.00000,32.70000,8607.00000,172673.00000,12.04841,5524.92034,1.56809,0.00000,48069.70247,47098.00000,12.00000,3389.00000,7306.00000,75.40574,47.00000,302696.00000,0.34646,71.66890,0.18925,0.11467,31.94000,57.14000,0.86430,0.00000,0.00000,0.00000,6.75000,85510.00000,0.00161,2328137.04571,184913.01378,107078.05520,47.66444,68.00000,407661097.83484,0.00000,0.00000,45.00000,18.00000,6226680.25719
Chiapas,2417.22948,0.19291,4222809.50000,1586220.00000,73681.00000,150985493.83311,140875448.11109,66456.00000,1780.00000,52.61274,2.98000,2.28000,3.13000,3.04000,0.37567,34.00000,223.00000,6785.00000,0.32795,3293196.00000,13.00000,3110.00000,9906.99000,3.00000,39743.44496,0.02626,851.00000,1032.95000,131.00000,63.53313,78.40000,72.96990,0.28030,321768.00000,78195.00000,0.98394,252.00000,470305.00000,1.28640,4.00000,18.00000,20.00000,79.10000,77.40000,0.04646,484.92000,20682.00000,2.53157,1062900.00000,0.01356,11.30000,9.50000,0.00000,47.69000,1.92899,-0.29590,27.76000,620364.50000,8.37867,6.00000,,1328146.20000,75466143.00000,1519872.44250,50202.00000,11.80000,25691.00000,944646.00000,5.18079,15627.52528,5.67376,0.00000,1.21745,21158.00000,12.00000,12073.00000,103722.00000,28.60175,151.00000,373838.00000,0.81432,83.20238,0.30150,0.25233,45.02000,54.76000,0.94884,0.00000,0.00000,12.02500,3.40000,376989.00000,0.00240,3653841.22328,75857.87919,159594.09386,11.96143,326.00000,41631010.96117,0.00000,2.00000,21.00000,88.00000,12121984.61839
Chihuahua,5215.81275,0.33546,3260950.00000,1289918.00000,247487.00000,267632623.63211,250335750.51211,20438.00000,10480.00000,57.69680,2.95000,2.55000,3.64000,2.87000,0.17167,14.00000,478.00000,2413.00000,0.11041,7591842.00000,1.00000,1585.00000,10044.97000,16.00000,4339.41515,0.45623,3953.70000,1168.00000,910.00000,54.77324,95.40000,74.92690,0.16834,281546.00000,184303.00000,1.58297,250.00000,437655.00000,0.79930,3.00000,13.00000,4.00000,76.20000,52.40000,0.09351,501.73000,134668.00000,7.56727,5664600.00000,0.03144,19.30000,10.30000,0.00000,44.20000,1.71264,0.57075,26.89000,149203.50000,15.05910,8.20000,,6980250.40000,109698928.00000,748925.29250,108749.00000,43.00000,81665.00000,834782.00000,18.70162,30435.79808,15.84052,0.00000,9.78001,52770.00000,26.00000,8247.00000,32236.00000,123.99807,273.00000,1135471.00000,0.08081,75.41679,0.38750,0.45933,10.79000,64.29000,0.81789,0.00000,0.00000,0.00000,6.55000,248086.00000,0.00997,8020258.26673,29899787.24724,23331570.16655,677.38797,741.00000,97641390.05374,0.00000,27.00000,112.00000,82.00000,23726296.42129
Coahuila,5436.30042,0.38247,2431618.00000,989190.00000,151445.00000,266771723.13571,244762876.64484,93814.00000,14029.00000,37.04305,3.08000,2.45000,3.36000,2.85000,0.20400,19.00000,117.00000,4404.00000,0.00477,444121.00000,7.00000,1228.00000,18126.90000,24.00000,4281.95764,0.83701,2435.00000,784.75000,567.00000,53.98626,99.20000,74.21220,0.17488,226632.00000,138192.00000,1.95754,143.00000,336640.00000,0.93550,1.00000,12.00000,3.10000,90.50000,62.70000,0.07153,514.12000,105183.00000,1.02292,273000.00000,0.04609,4.80000,8.46000,0.30000,49.30000,1.47806,0.73939,13.56000,48161.00000,11.66083,8.90000,,4511798.10000,154826457.00000,265838.97250,76085.00000,38.80000,50257.00000,591538.00000,18.48738,22796.69722,15.00647,0.00000,0.79725,22344.00000,21.00000,11828.00000,22408.00000,203.33432,220.00000,1066213.00000,0.39618,76.47307,0.34450,0.33267,2.22000,50.00000,0.86141,159596.00000,0.00000,21.58740,5.45000,207140.00000,0.02863,5338028.55312,9707941.77269,6337855.61536,180.47230,1081.00000,132813829.07014,0.00000,26.00000,107.00000,129.00000,23635347.74901
